"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","386","API: Delete Processed Claim (DELETE) successfully","","2026-08-20","passed","2026-08-20","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testDeleteClaim"
"","440","API Negative: Fetch Non-Existent Claim (GET) should return 404","","2026-08-20","passed","2026-08-20","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testFetchNonExistentClaim"
"","304","API: Retrieve Existing Claim (GET) successfully","","2026-08-20","passed","2026-08-20","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testGetClaimDetails"
"","398","API: Update Existing Claim (PUT) successfully","","2026-08-20","passed","2026-08-20","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testUpdateClaimStatus"
"","35519","User should be able to login successfully with valid credentials","","2026-08-20","broken","2026-08-20","","com.demo.taf.ui.PortalLoginTest","com.demo.taf.ui.PortalLoginTest","testValidLogin"
"","4","testBorderauIngestion(BorderauRecord) Data Pipeline: Ingest BorderauRecord[claimId=CLM-2026-Z77, cedentName=Swiss Re, treatyRef=TREATY-SWI-26, reserveAmount=50000.75, status=PENDING] for {1}","","2026-08-20","passed","2026-08-20","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testBorderauIngestion"
"","4","testBorderauIngestion(BorderauRecord) Data Pipeline: Ingest BorderauRecord[claimId=CLM-2026-Y88, cedentName=Munich Re, treatyRef=TREATY-MUN-26, reserveAmount=150000.0, status=CLOSED] for {1}","","2026-08-20","passed","2026-08-20","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testBorderauIngestion"
"","20","Data Pipeline Negative: Reject invalid data type mapping","","2026-08-20","passed","2026-08-20","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testDatabaseRejectsInvalidData"
"","9","Data Pipeline: Update existing Reserve Amount (UPDATE)","","2026-08-20","passed","2026-08-20","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testUpdateReserveAmount"
"","206","testBorderauIngestion(BorderauRecord) Data Pipeline: Ingest BorderauRecord[claimId=CLM-2026-X99, cedentName=Allianz Global, treatyRef=TREATY-ALL-26, reserveAmount=250000.5, status=OPEN] for {1}","","2026-08-20","passed","2026-08-20","","com.demo.taf.data.BorderauIngestionTest","com.demo.taf.data.BorderauIngestionTest","testBorderauIngestion"
"","334","API: Submit First Notice of Loss (FNOL) successfully","","2026-08-20","passed","2026-08-20","","com.demo.taf.api.ClaimNotificationApiTest","com.demo.taf.api.ClaimNotificationApiTest","testSubmitFnolClaim"
